model,num_samples,seed,dataset,accuracy,f1,true_positive_rate,true_negative_rate,negative_support,positive_support,roc_auc,average_precision
olmo2_1124_7b_inst,40000,seed_1,wildguardtest,0.898175397292525,0.88093599449415,0.8488063660477454,0.9375661375661376,945,754,0.9507613714510266,0.9370905683899967
olmo2_1124_7b_inst,10,seed_2,wildguardtest,0.7433784579164214,0.7376654632972323,0.8129973474801061,0.6878306878306878,945,754,0.8427631117286289,0.8212323243268757
olmo2_1124_7b_inst,100,seed_2,wildguardtest,0.8858151854031784,0.8650904033379694,0.8249336870026526,0.9343915343915344,945,754,0.9199549492652941,0.9069644154722756
olmo2_1124_7b_inst,1000,seed_2,wildguardtest,0.8887580929958799,0.8690228690228691,0.8315649867374005,0.9343915343915344,945,754,0.923589182209872,0.9144868401780242
olmo2_1124_7b_inst,10000,seed_2,wildguardtest,0.8969982342554443,0.8793935217091661,0.8461538461538461,0.9375661375661376,945,754,0.9486281279384727,0.9353581741059025
olmo2_1124_7b_inst,20000,seed_2,wildguardtest,0.8952324896998234,0.8772413793103448,0.843501326259947,0.9365079365079365,945,754,0.9505719057443196,0.9366854210564766
olmo2_1124_7b_inst,40000,seed_2,wildguardtest,0.899941141848146,0.8830811554332875,0.8514588859416445,0.9386243386243386,945,754,0.95071365416193,0.9373190249813927
olmo2_1124_7b_inst,10,seed_3,wildguardtest,0.8393172454384933,0.8190854870775348,0.8196286472148541,0.855026455026455,945,754,0.8723590585659551,0.8435149416991912
olmo2_1124_7b_inst,100,seed_3,wildguardtest,0.8864037669217186,0.8636042402826856,0.8103448275862069,0.9470899470899471,945,754,0.9154849620366861,0.889243713448813
olmo2_1124_7b_inst,1000,seed_3,wildguardtest,0.8928781636256622,0.8734353268428373,0.8328912466843501,0.9407407407407408,945,754,0.928501256087463,0.9244126992589028
olmo2_1124_7b_inst,10000,seed_3,wildguardtest,0.8952324896998234,0.8769017980636238,0.8408488063660478,0.9386243386243386,945,754,0.9486618107307763,0.9352177740080009
olmo2_1124_7b_inst,20000,seed_3,wildguardtest,0.8964096527369041,0.8786206896551724,0.8448275862068966,0.9375661375661376,945,754,0.9507796162968577,0.9367753549013057
olmo2_1124_7b_inst,40000,seed_3,wildguardtest,0.8993525603296056,0.8823124569855472,0.850132625994695,0.9386243386243386,945,754,0.95097890615132,0.9376849662487556
olmo2_1124_7b_inst,10,seed_4,wildguardtest,0.8522660388463802,0.8270158511371468,0.7957559681697612,0.8973544973544973,945,754,0.8653839136597756,0.8259102619311904
olmo2_1124_7b_inst,100,seed_4,wildguardtest,0.8787522071806946,0.8577348066298343,0.8236074270557029,0.9227513227513228,945,754,0.9054839796219106,0.8658134330500655
olmo2_1124_7b_inst,1000,seed_4,wildguardtest,0.8834608593290171,0.8623087621696801,0.8222811671087533,0.9322751322751323,945,754,0.9297769918459573,0.9224655344436408
olmo2_1124_7b_inst,10000,seed_4,wildguardtest,0.898175397292525,0.8806073153899241,0.8461538461538461,0.9396825396825397,945,754,0.9489242558208075,0.9329306480861999
olmo2_1124_7b_inst,20000,seed_4,wildguardtest,0.8969982342554443,0.8795595320027529,0.8474801061007957,0.9365079365079365,945,754,0.9525479628927904,0.937597184752982
olmo2_1124_7b_inst,40000,seed_4,wildguardtest,0.898175397292525,0.88093599449415,0.8488063660477454,0.9375661375661376,945,754,0.9509424164596578,0.9377164827303389
qwen3_8b,10,seed_0,wildguardtest,0.631547969393761,0.616421568627451,0.6671087533156499,0.6031746031746031,945,754,0.7606030623272002,0.7363513969832548
qwen3_8b,100,seed_0,wildguardtest,0.8375515008828722,0.7994186046511628,0.7294429708222812,0.9238095238095239,945,754,0.8903477748305334,0.8756740496974367
qwen3_8b,1000,seed_0,wildguardtest,0.8675691583284285,0.8418833450456782,0.7944297082228117,0.9259259259259259,945,754,0.9203963341894376,0.9086944332335869
qwen3_8b,10000,seed_0,wildguardtest,0.8816951147733961,0.8583509513742071,0.8076923076923077,0.9407407407407408,945,754,0.9416136864412727,0.9268626741672933
qwen3_8b,20000,seed_0,wildguardtest,0.8840494408475574,0.8623340321453529,0.8183023872679045,0.9365079365079365,945,754,0.941512638064362,0.9254895632297642
qwen3_8b,40000,seed_0,wildguardtest,0.8899352560329605,0.8691392582225332,0.8236074270557029,0.9428571428571428,945,754,0.9428038117693291,0.926113178431903
qwen3_8b,10,seed_1,wildguardtest,0.6386109476162448,0.5811732605729877,0.5649867374005305,0.6973544973544974,945,754,0.7520630710285883,0.7459416232292229
qwen3_8b,100,seed_1,wildguardtest,0.8246027074749853,0.7862266857962698,0.726790450928382,0.9026455026455027,945,754,0.8880510294303398,0.8544081510487059
qwen3_8b,1000,seed_1,wildguardtest,0.8669805768098882,0.8430555555555556,0.8050397877984085,0.9164021164021164,945,754,0.908764543247302,0.9034779155685512
qwen3_8b,10000,seed_1,wildguardtest,0.8864037669217186,0.8649405178446467,0.8196286472148541,0.9396825396825397,945,754,0.9425778563709598,0.9288600875916533
qwen3_8b,20000,seed_1,wildguardtest,0.8881695114773396,0.8671328671328671,0.8222811671087533,0.9407407407407408,945,754,0.9429020532468809,0.9274462714107664
qwen3_8b,40000,seed_1,wildguardtest,0.8899352560329605,0.8691392582225332,0.8236074270557029,0.9428571428571428,945,754,0.9429455601869395,0.9263199734208934
qwen3_8b,10,seed_2,wildguardtest,0.8228369629193644,0.7741935483870968,0.6843501326259946,0.9333333333333333,945,754,0.8818056783574026,0.8631522914013594
