model,model_type,num_categories,dataset_type,score
olmo2_1124_13b_inst,Hidden States GDA,6,harmful,0.8834269662921348
olmo2_1124_13b_inst,Hidden States GDA,7,harmful,0.8867132867132868
olmo2_1124_13b_inst,Hidden States GDA,8,harmful,0.8870292887029289
olmo2_1124_13b_inst,Hidden States GDA,9,harmful,0.8885793871866295
olmo2_1124_13b_inst,Hidden States GDA,10,harmful,0.8881167477414872
olmo2_1124_13b_inst,Hidden States GDA,11,harmful,0.8888888888888888
olmo2_1124_13b_inst,Hidden States GDA,12,harmful,0.8916666666666667
olmo2_1124_13b_inst,Hidden States GDA,13,harmful,0.8922863099374566
olmo2_1124_13b_inst,Hidden States GDA,14,harmful,0.893970893970894
olmo2_1124_13b_inst,Hidden States Maha,1,harmful,0.5137254901960784
olmo2_1124_13b_inst,Hidden States Maha,2,harmful,0.5625
olmo2_1124_13b_inst,Hidden States Maha,3,harmful,0.5719661335841957
olmo2_1124_13b_inst,Hidden States Maha,4,harmful,0.5905292479108635
olmo2_1124_13b_inst,Hidden States Maha,5,harmful,0.5905292479108635
olmo2_1124_13b_inst,Hidden States Maha,6,harmful,0.5905292479108635
olmo2_1124_13b_inst,Hidden States Maha,7,harmful,0.593141797961075
olmo2_1124_13b_inst,Hidden States Maha,8,harmful,0.593141797961075
olmo2_1124_13b_inst,Hidden States Maha,9,harmful,0.593141797961075
olmo2_1124_13b_inst,Hidden States Maha,10,harmful,0.593141797961075
olmo2_1124_13b_inst,Hidden States Maha,11,harmful,0.593141797961075
olmo2_1124_13b_inst,Hidden States Maha,12,harmful,0.5983379501385041
olmo2_1124_13b_inst,Hidden States Maha,13,harmful,0.5983379501385041
olmo2_1124_13b_inst,Hidden States Maha,14,harmful,0.5983379501385041
olmo2_1124_13b_inst,Hidden States NMC,1,harmful,0.8271428571428572
olmo2_1124_13b_inst,Hidden States NMC,2,harmful,0.8326241134751773
olmo2_1124_13b_inst,Hidden States NMC,3,harmful,0.8377997179125529
olmo2_1124_13b_inst,Hidden States NMC,4,harmful,0.8451296426068675
olmo2_1124_13b_inst,Hidden States NMC,5,harmful,0.8451296426068675
olmo2_1124_13b_inst,Hidden States NMC,6,harmful,0.8451296426068675
olmo2_1124_13b_inst,Hidden States NMC,7,harmful,0.8453463960811757
olmo2_1124_13b_inst,Hidden States NMC,8,harmful,0.8453463960811757
olmo2_1124_13b_inst,Hidden States NMC,9,harmful,0.8469601677148847
olmo2_1124_13b_inst,Hidden States NMC,10,harmful,0.8469601677148847
