dataset,model,num_datasets,dataset_type,score,model_type
truthfulqa,llama3_8b_inst,wildguard+aegis,non_harmful,0.950632911392405,Hidden States GDA
truthfulqa,llama3_8b_inst,wildguard+toxichat,non_harmful,0.9607594936708861,Hidden States GDA
truthfulqa,llama3_8b_inst,aegis+toxichat,non_harmful,0.9088607594936708,Hidden States GDA
truthfulqa,llama3_8b_inst,wildguard+aegis+toxichat,non_harmful,0.9569620253164557,Hidden States GDA
alpaca_eval,llama3_8b_inst,wildguard,non_harmful,0.9527950310559006,Hidden States GDA
alpaca_eval,llama3_8b_inst,aegis,non_harmful,0.9627329192546584,Hidden States GDA
alpaca_eval,llama3_8b_inst,toxichat,non_harmful,0.9950310559006211,Hidden States GDA
alpaca_eval,llama3_8b_inst,wildguard+aegis,non_harmful,0.9503105590062112,Hidden States GDA
alpaca_eval,llama3_8b_inst,wildguard+toxichat,non_harmful,0.9838509316770186,Hidden States GDA
alpaca_eval,llama3_8b_inst,aegis+toxichat,non_harmful,0.9801242236024845,Hidden States GDA
alpaca_eval,llama3_8b_inst,wildguard+aegis+toxichat,non_harmful,0.977639751552795,Hidden States GDA
wildjailbreak_test,mistral7b_inst,wildguard,harmful,0.8901670775130102,Hidden States GDA
wildjailbreak_test,mistral7b_inst,aegis,harmful,0.7169811320754716,Hidden States GDA
wildjailbreak_test,mistral7b_inst,toxichat,harmful,0.7085822068531908,Hidden States GDA
wildjailbreak_test,mistral7b_inst,wildguard+aegis,harmful,0.8831955922865014,Hidden States GDA
wildjailbreak_test,mistral7b_inst,wildguard+toxichat,harmful,0.8866886688668867,Hidden States GDA
wildjailbreak_test,mistral7b_inst,aegis+toxichat,harmful,0.7546379413524835,Hidden States GDA
wildjailbreak_test,mistral7b_inst,wildguard+aegis+toxichat,harmful,0.8821418713773116,Hidden States GDA
simplesafety_tests,mistral7b_inst,wildguard,harmful,0.9847715736040609,Hidden States GDA
simplesafety_tests,mistral7b_inst,aegis,harmful,1.0,Hidden States GDA
simplesafety_tests,mistral7b_inst,toxichat,harmful,0.9690721649484536,Hidden States GDA
simplesafety_tests,mistral7b_inst,wildguard+aegis,harmful,0.98989898989899,Hidden States GDA
simplesafety_tests,mistral7b_inst,wildguard+toxichat,harmful,0.9847715736040609,Hidden States GDA
simplesafety_tests,mistral7b_inst,aegis+toxichat,harmful,1.0,Hidden States GDA
