model,dataset,layer,accuracy,f1,true_positive_rate,true_negative_rate,roc_auc,average_precision,negative_support,positive_support,Classification_Type,num_layers
llama3_8b_inst,simplesafety_tests,20,0.99,0.9949748743718593,0.99,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,21,0.99,0.9949748743718593,0.99,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,22,0.99,0.9949748743718593,0.99,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,23,0.99,0.9949748743718593,0.99,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,24,0.99,0.9949748743718593,0.99,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,25,0.99,0.9949748743718593,0.99,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,26,0.99,0.9949748743718593,0.99,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,27,0.99,0.9949748743718593,0.99,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,28,0.99,0.9949748743718593,0.99,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,29,0.99,0.9949748743718593,0.99,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,30,0.99,0.9949748743718593,0.99,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,31,0.99,0.9949748743718593,0.99,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,simplesafety_tests,32,0.99,0.9949748743718593,0.99,0.0,,1.0,0,100,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,1,0.6670171749036102,0.3448275862068966,0.6906077348066298,0.6635889201124047,0.7443298637526033,0.32509214679514403,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,2,0.7003154574132492,0.38088341781317886,0.7265193370165746,0.6965074267362505,0.8005854224379035,0.3955670705027284,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,3,0.7167893445495969,0.40236686390532544,0.7513812154696132,0.711762344439984,0.8243838037931027,0.4500129822158242,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,4,0.7441289870311952,0.44359756097560976,0.8038674033149171,0.7354476114010438,0.8536321919129861,0.5146910731919159,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,5,0.7942516649141255,0.5029635901778154,0.8204419889502762,0.7904456041750301,0.895799463704696,0.6211867424828795,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,6,0.809323519102699,0.5326460481099656,0.856353591160221,0.802488960256925,0.901561644017912,0.6192405981937553,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,7,0.8314055380301437,0.5615314494074749,0.850828729281768,0.8285828984343637,0.9169008430349258,0.6684994049387982,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,8,0.8633017875920084,0.6176470588235294,0.8701657458563536,0.8623042954636692,0.9383476648531398,0.7274890608092113,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,9,0.8745180511742026,0.6383838383838384,0.8729281767955801,0.8747490967482938,0.9469693105123194,0.7706741557371911,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,10,0.882229232386961,0.6550308008213552,0.8812154696132597,0.8823765556001606,0.952949402378951,0.7589201859272707,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,11,0.8878373641780581,0.6701030927835051,0.8977900552486188,0.8863910076274588,0.9575388525764575,0.7764514566227715,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,12,0.8797756747283562,0.6423357664233577,0.850828729281768,0.8839823364110799,0.9535632143118541,0.7717455772597542,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,13,0.8913424465474938,0.6743697478991597,0.8867403314917127,0.8920112404656765,0.9533070434780679,0.7980280327590142,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,14,0.8962495618647038,0.6754385964912281,0.850828729281768,0.9028502609393818,0.9531107567352968,0.7867232187208857,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,15,0.8916929547844374,0.6750788643533123,0.8867403314917127,0.8924126856684063,0.9542834868510062,0.7763136841198123,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,16,0.889589905362776,0.6645367412140575,0.861878453038674,0.8936170212765957,0.9510902231458666,0.7743708156702802,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,17,0.8881878724150017,0.6521264994547438,0.8259668508287292,0.8972300281011641,0.9418708455411858,0.7485593686475219,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,18,0.892043463021381,0.6723404255319149,0.8729281767955801,0.8948213568847853,0.9491722687864156,0.7653819499983104,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,19,0.8850332982825097,0.6583333333333333,0.8729281767955801,0.8867924528301887,0.9473829543261819,0.757559820547661,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,20,0.8801261829652997,0.6538461538461539,0.8922651933701657,0.8783621035728623,0.9492072011728411,0.7668032138863385,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,21,0.8787241500175255,0.6497975708502024,0.8867403314917127,0.8775592131674026,0.9478470560315477,0.7742285269052461,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,22,0.8755695758850333,0.6395939086294417,0.8701657458563536,0.8763548775592132,0.9468789298934728,0.7692327224259808,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,23,0.8748685594111462,0.6412060301507537,0.8812154696132597,0.8739462063428342,0.9462107786927968,0.7632134859443198,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,24,0.8745180511742026,0.6346938775510204,0.8591160220994475,0.876756322761943,0.9448839024909566,0.7590866187444371,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,25,0.8727655099894848,0.6307222787385555,0.856353591160221,0.8751505419510237,0.9444436435255317,0.7592485082101467,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,26,0.8745180511742026,0.6331967213114754,0.8535911602209945,0.8775592131674026,0.9452448704840188,0.7711933775561611,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,27,0.8696109358569927,0.625,0.856353591160221,0.8715375351264553,0.9419584537484114,0.7562369679172859,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,28,0.8689099193831055,0.6191446028513238,0.8397790055248618,0.8731433159373746,0.939394527481253,0.7438460072281942,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,29,0.8801261829652997,0.6430062630480167,0.850828729281768,0.8843837816138097,0.9401691392881776,0.7601137331756447,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,30,0.8713634770417105,0.6196891191709845,0.8259668508287292,0.8779606583701325,0.9386964342350694,0.7536987157024994,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,31,0.8738170347003155,0.6210526315789474,0.8149171270718232,0.8823765556001606,0.9401064827855417,0.7505335869555557,2491,362,Hidden States Maha,32
llama3_8b_inst,toxicchat_humanannotated,32,0.883981773571679,0.6482465462274176,0.8425414364640884,0.8900040144520273,0.9416529339877702,0.74111099692122,2491,362,Hidden States Maha,32
llama3_8b_inst,wildguardtest,1,0.7804590935844614,0.7267399267399267,0.6578249336870027,0.8783068783068783,0.8393379927862686,0.8215632985341499,945,754,Hidden States Maha,32
llama3_8b_inst,wildguardtest,2,0.8016480282519128,0.7498144023756496,0.669761273209549,0.9068783068783068,0.8585182378285827,0.8400245544817752,945,754,Hidden States Maha,32
llama3_8b_inst,wildguardtest,3,0.8034137728075338,0.7547723935389133,0.6816976127320955,0.9005291005291005,0.8629861198826716,0.8395053613632227,945,754,Hidden States Maha,32
llama3_8b_inst,wildguardtest,4,0.8198940553266627,0.7733333333333333,0.6923076923076923,0.9216931216931217,0.8861542671887499,0.8617568390436379,945,754,Hidden States Maha,32
llama3_8b_inst,wildguardtest,5,0.8263684520306063,0.7841989758595465,0.7108753315649867,0.9185185185185185,0.9029381219036392,0.8757267339313013,945,754,Hidden States Maha,32
llama3_8b_inst,wildguardtest,6,0.8410829899941142,0.8023426061493412,0.726790450928382,0.9322751322751323,0.912807881773399,0.8854099621609667,945,754,Hidden States Maha,32
llama3_8b_inst,wildguardtest,7,0.849911712772219,0.8156182212581344,0.7480106100795756,0.9312169312169312,0.9240607413021206,0.898583169465181,945,754,Hidden States Maha,32
llama3_8b_inst,wildguardtest,8,0.8669805768098882,0.836940836940837,0.7692307692307693,0.944973544973545,0.9335284128387576,0.9123955246305439,945,754,Hidden States Maha,32
llama3_8b_inst,wildguardtest,9,0.8775750441436139,0.8505747126436781,0.7851458885941645,0.9513227513227513,0.9402425161045851,0.9229082980825962,945,754,Hidden States Maha,32
llama3_8b_inst,wildguardtest,10,0.8811065332548558,0.8561253561253561,0.7970822281167109,0.9481481481481482,0.9449658260003089,0.9244880328438715,945,754,Hidden States Maha,32
llama3_8b_inst,wildguardtest,11,0.8846380223660977,0.8613861386138614,0.8076923076923077,0.946031746031746,0.950668743772192,0.9378432221154809,945,754,Hidden States Maha,32
llama3_8b_inst,wildguardtest,12,0.8917010005885815,0.870604781997187,0.8209549071618037,0.9481481481481482,0.9525002456036938,0.9417960351195341,945,754,Hidden States Maha,32
