model,dataset,layer,accuracy,f1,true_positive_rate,true_negative_rate,roc_auc,average_precision,negative_support,positive_support,Classification_Type,num_layers
llama3_8b_inst,wildguardtest,2,0.8016480282519128,0.7498144023756496,0.669761273209549,0.9068783068783068,0.8585182378285827,0.8400245544817752,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,3,0.8034137728075338,0.7547723935389133,0.6816976127320955,0.9005291005291005,0.8629861198826716,0.8395053613632227,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,4,0.8198940553266627,0.7733333333333333,0.6923076923076923,0.9216931216931217,0.8861542671887499,0.8617568390436379,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,5,0.8263684520306063,0.7841989758595465,0.7108753315649867,0.9185185185185185,0.9029381219036392,0.8757267339313013,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,6,0.8410829899941142,0.8023426061493412,0.726790450928382,0.9322751322751323,0.912807881773399,0.8854099621609667,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,7,0.849911712772219,0.8156182212581344,0.7480106100795756,0.9312169312169312,0.9240607413021206,0.898583169465181,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,8,0.8669805768098882,0.836940836940837,0.7692307692307693,0.944973544973545,0.9335284128387576,0.9123955246305439,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,9,0.8775750441436139,0.8505747126436781,0.7851458885941645,0.9513227513227513,0.9402425161045851,0.9229082980825962,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,10,0.8811065332548558,0.8561253561253561,0.7970822281167109,0.9481481481481482,0.9449658260003089,0.9244880328438715,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,11,0.8846380223660977,0.8613861386138614,0.8076923076923077,0.946031746031746,0.950668743772192,0.9378432221154809,945,754,Hidden States Maha,32.0
llama3_8b_inst,wildguardtest,12,0.8917010005885815,0.870604781997187,0.8209549071618037,0.9481481481481482,0.9525002456036938,0.9417960351195341,945,754,Hidden States Maha,32.0
